"","Natureza","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total","delegacia_id"
"647","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1146
"648","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1146
"649","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,1,0,0,1,0,0,1,0,2,5,1146
"650","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1146
"651","TENTATIVA DE HOMICÍDIO",1,2,4,0,0,1,1,0,0,0,0,0,9,1146
"652","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,1,0,0,0,0,0,1,1146
"653","LESÃO CORPORAL DOLOSA",17,13,18,9,12,19,21,20,22,22,18,9,200,1146
"654","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",15,10,22,16,17,24,20,21,19,25,14,20,223,1146
"655","LESÃO CORPORAL CULPOSA - OUTRAS",0,1,0,0,1,0,1,1,0,2,0,0,6,1146
"656","LATROCÍNIO",0,0,0,0,0,0,0,2,0,0,0,0,2,1146
"657","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,2,0,0,0,0,2,1146
"658","TOTAL DE ESTUPRO (4)",2,1,4,1,2,3,1,3,1,0,1,0,19,1146
"659","ESTUPRO",2,0,1,1,2,1,1,1,0,0,0,0,9,1146
"660","ESTUPRO DE VULNERÁVEL",0,1,3,0,0,2,0,2,1,0,1,0,10,1146
"661","TOTAL DE ROUBO - OUTROS (1)",93,95,80,91,76,71,98,102,134,148,129,116,1.233,1146
"662","ROUBO - OUTROS",86,87,71,85,73,65,91,98,132,145,126,110,1.169,1146
"663","ROUBO DE VEÍCULO",37,35,28,36,45,40,26,30,14,66,46,49,452,1146
"664","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1146
"665","ROUBO DE CARGA",7,8,9,6,3,6,7,4,2,3,3,6,64,1146
"666","FURTO - OUTROS",103,108,111,103,99,121,159,154,132,153,100,88,1.431,1146
"667","FURTO DE VEÍCULO",29,21,31,22,27,30,27,30,32,43,33,29,354,1146
"668","HOMICÍDIO DOLOSO (2)",0,0,1,0,0,0,0,0,0,0,0,0,1,1145
"669","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,1,0,0,0,0,0,0,0,0,0,1,1145
"670","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1145
"671","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1145
"672","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,1,0,0,0,0,0,0,0,1,1145
"673","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1145
"674","TENTATIVA DE HOMICÍDIO",0,1,0,0,0,0,0,0,0,0,0,0,1,1145
"675","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1145
"676","LESÃO CORPORAL DOLOSA",13,13,14,12,10,14,18,9,7,14,14,16,154,1145
"677","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",7,6,11,5,6,3,6,7,6,6,4,5,72,1145
"678","LESÃO CORPORAL CULPOSA - OUTRAS",0,2,0,0,0,0,0,0,0,0,0,0,2,1145
"679","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1145
"680","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1145
"681","TOTAL DE ESTUPRO (4)",0,0,1,1,0,0,1,1,1,0,0,1,6,1145
"682","ESTUPRO",0,0,1,0,0,0,1,0,1,0,0,0,3,1145
"683","ESTUPRO DE VULNERÁVEL",0,0,0,1,0,0,0,1,0,0,0,1,3,1145
"684","TOTAL DE ROUBO - OUTROS (1)",57,64,43,45,61,33,36,43,47,41,37,43,550,1145
"685","ROUBO - OUTROS",55,64,43,43,61,31,36,43,47,41,36,39,539,1145
"686","ROUBO DE VEÍCULO",14,22,10,12,11,9,13,24,16,14,23,12,180,1145
"687","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1145
"688","ROUBO DE CARGA",2,0,0,2,0,2,0,0,0,0,1,4,11,1145
"689","FURTO - OUTROS",47,64,60,37,63,62,64,70,53,77,60,49,706,1145
"690","FURTO DE VEÍCULO",43,59,56,63,64,53,57,58,51,58,72,37,671,1145
"691","HOMICÍDIO DOLOSO (2)",0,2,0,0,0,0,1,0,0,0,0,0,3,1078
"692","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,2,0,0,0,0,1,0,0,0,0,0,3,1078
"693","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1078
"694","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1078
"695","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,1,1,1,0,0,0,0,0,0,0,0,3,1078
"696","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1078
"697","TENTATIVA DE HOMICÍDIO",0,0,0,0,0,0,0,0,0,1,0,0,1,1078
"698","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1078
"699","LESÃO CORPORAL DOLOSA",21,28,27,21,21,21,17,25,21,14,21,27,264,1078
"700","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",17,15,25,17,6,13,12,18,11,20,13,11,178,1078
"701","LESÃO CORPORAL CULPOSA - OUTRAS",3,2,6,1,2,0,1,1,1,2,2,2,23,1078
"702","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1078
"703","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1078
"704","TOTAL DE ESTUPRO (4)",0,0,2,2,2,0,2,1,2,0,0,1,12,1078
"705","ESTUPRO",0,0,0,1,2,0,1,1,1,0,0,0,6,1078
"706","ESTUPRO DE VULNERÁVEL",0,0,2,1,0,0,1,0,1,0,0,1,6,1078
"707","TOTAL DE ROUBO - OUTROS (1)",77,101,62,83,105,88,56,74,80,93,87,61,967,1078
"708","ROUBO - OUTROS",76,101,59,79,103,87,52,74,80,91,85,57,944,1078
"709","ROUBO DE VEÍCULO",22,27,14,21,13,11,9,11,10,16,20,16,190,1078
"710","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1078
"711","ROUBO DE CARGA",1,0,3,4,2,1,4,0,0,2,2,4,23,1078
"712","FURTO - OUTROS",163,159,248,202,260,220,211,203,193,207,187,189,2.442,1078
"713","FURTO DE VEÍCULO",110,93,104,74,62,95,105,101,83,89,87,59,1.062,1078
"714","HOMICÍDIO DOLOSO (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,1077
"715","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,0,0,0,0,0,0,0,0,0,0,1077
"716","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1077
"717","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1077
"718","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,1,0,0,0,1,1077
"719","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1077
"720","TENTATIVA DE HOMICÍDIO",0,1,0,0,1,0,0,0,1,0,0,0,3,1077
"721","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1077
"722","LESÃO CORPORAL DOLOSA",7,11,9,12,10,8,8,7,13,18,8,12,123,1077
"723","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",1,1,7,8,4,7,4,7,10,4,10,6,69,1077
"724","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,1,0,0,0,0,0,0,1,1077
"725","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1077
"726","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1077
"727","TOTAL DE ESTUPRO (4)",3,0,1,3,2,0,0,1,0,0,1,1,12,1077
"728","ESTUPRO",0,0,0,1,0,0,0,0,0,0,0,0,1,1077
"729","ESTUPRO DE VULNERÁVEL",3,0,1,2,2,0,0,1,0,0,1,1,11,1077
"730","TOTAL DE ROUBO - OUTROS (1)",36,27,32,49,42,36,28,40,36,32,46,37,441,1077
"731","ROUBO - OUTROS",36,27,30,48,41,35,26,39,36,29,44,36,427,1077
"732","ROUBO DE VEÍCULO",9,10,6,4,8,3,3,12,2,7,6,4,74,1077
"733","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1077
"734","ROUBO DE CARGA",0,0,2,1,1,1,2,1,0,3,2,1,14,1077
"735","FURTO - OUTROS",43,40,58,47,47,59,35,43,52,32,53,39,548,1077
"736","FURTO DE VEÍCULO",31,24,21,26,20,37,43,29,20,37,31,19,338,1077
"737","HOMICÍDIO DOLOSO (2)",0,0,1,2,0,0,1,1,0,0,0,0,5,1076
"738","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,1,2,0,0,1,1,0,0,0,0,5,1076
"739","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1076
"740","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1076
"741","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,2,0,0,0,0,0,0,1,2,1,0,6,1076
"742","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1076
"743","TENTATIVA DE HOMICÍDIO",0,3,2,0,1,0,0,0,0,0,0,0,6,1076
"744","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1076
"745","LESÃO CORPORAL DOLOSA",26,26,19,20,15,17,15,23,28,22,24,16,251,1076
"746","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",8,8,17,14,12,19,22,18,9,16,7,9,159,1076
"747","LESÃO CORPORAL CULPOSA - OUTRAS",3,1,1,1,2,0,0,1,4,1,2,1,17,1076
"748","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1076
"749","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1076
"750","TOTAL DE ESTUPRO (4)",0,3,1,1,6,0,2,1,2,2,5,3,26,1076
"751","ESTUPRO",0,1,0,1,3,0,1,0,1,1,2,0,10,1076
"752","ESTUPRO DE VULNERÁVEL",0,2,1,0,3,0,1,1,1,1,3,3,16,1076
"753","TOTAL DE ROUBO - OUTROS (1)",110,90,113,135,119,107,105,115,91,108,105,101,1.299,1076
"754","ROUBO - OUTROS",107,89,111,134,118,105,104,110,91,107,104,100,1.28,1076
"755","ROUBO DE VEÍCULO",18,10,27,23,17,24,25,30,20,29,42,43,308,1076
"756","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1076
"757","ROUBO DE CARGA",3,1,2,1,1,2,1,5,0,1,1,1,19,1076
"758","FURTO - OUTROS",97,112,108,99,88,99,127,109,105,104,106,129,1.283,1076
"759","FURTO DE VEÍCULO",36,33,25,32,34,30,36,39,34,43,48,26,416,1076
"760","HOMICÍDIO DOLOSO (2)",0,0,1,0,1,2,1,1,0,0,0,0,6,1075
"761","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,1,0,1,2,1,1,0,0,0,0,6,1075
"762","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1075
"763","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1075
"764","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",2,0,0,1,1,1,0,1,0,0,3,2,11,1075
"765","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1075
"766","TENTATIVA DE HOMICÍDIO",0,1,1,1,0,0,1,1,1,1,2,0,9,1075
"767","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1075
"768","LESÃO CORPORAL DOLOSA",33,28,31,28,22,23,18,25,14,33,23,24,302,1075
"769","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",12,8,12,14,14,13,6,12,30,7,6,9,143,1075
"770","LESÃO CORPORAL CULPOSA - OUTRAS",1,0,0,0,1,1,1,1,1,0,1,3,10,1075
"771","LATROCÍNIO",0,1,0,0,0,1,0,0,0,0,1,0,3,1075
"772","Nº DE VÍTIMAS EM LATROCÍNIO",0,1,0,0,0,1,0,0,0,0,1,0,3,1075
"773","TOTAL DE ESTUPRO (4)",3,2,3,1,3,1,4,2,2,0,2,3,26,1075
"774","ESTUPRO",0,1,2,0,0,0,2,0,1,0,1,1,8,1075
"775","ESTUPRO DE VULNERÁVEL",3,1,1,1,3,1,2,2,1,0,1,2,18,1075
"776","TOTAL DE ROUBO - OUTROS (1)",90,98,94,94,100,93,87,79,70,103,76,78,1.062,1075
"777","ROUBO - OUTROS",82,93,89,88,91,83,72,71,63,97,71,70,970,1075
"778","ROUBO DE VEÍCULO",31,45,22,30,33,34,13,40,25,34,35,39,381,1075
"779","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1075
"780","ROUBO DE CARGA",8,5,5,6,9,10,15,8,7,6,5,8,92,1075
"781","FURTO - OUTROS",79,81,82,90,83,76,105,97,67,101,80,80,1.021,1075
"782","FURTO DE VEÍCULO",46,37,82,61,75,55,41,47,55,70,44,59,672,1075
"783","HOMICÍDIO DOLOSO (2)",0,0,0,1,1,0,0,0,0,0,0,1,3,1074
"784","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,1,1,0,0,0,0,0,0,1,3,1074
"785","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1074
"786","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1074
"787","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,1,2,0,1,1,0,0,1,0,0,6,1074
"788","HOMICÍDIO CULPOSO OUTROS",0,0,0,2,0,0,0,0,0,0,0,0,2,1074
"789","TENTATIVA DE HOMICÍDIO",0,0,1,0,1,0,1,0,0,1,1,1,6,1074
"790","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,1,0,0,0,0,1,1074
"791","LESÃO CORPORAL DOLOSA",13,20,18,17,23,21,14,18,21,24,13,15,217,1074
"792","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",27,21,30,20,26,25,29,22,21,34,20,27,302,1074
"793","LESÃO CORPORAL CULPOSA - OUTRAS",0,2,0,0,1,0,1,1,0,1,0,0,6,1074
"794","LATROCÍNIO",0,1,1,0,1,0,0,0,0,1,0,0,4,1074
"795","Nº DE VÍTIMAS EM LATROCÍNIO",0,1,1,0,1,0,0,0,0,1,0,0,4,1074
"796","TOTAL DE ESTUPRO (4)",2,2,3,3,0,2,2,2,2,2,0,1,21,1074
"797","ESTUPRO",1,2,1,1,0,0,1,1,2,1,0,0,10,1074
"798","ESTUPRO DE VULNERÁVEL",1,0,2,2,0,2,1,1,0,1,0,1,11,1074
"799","TOTAL DE ROUBO - OUTROS (1)",117,138,134,134,158,120,154,119,116,111,139,127,1.567,1074
"800","ROUBO - OUTROS",116,134,129,134,156,117,152,119,116,109,138,126,1.546,1074
"801","ROUBO DE VEÍCULO",19,15,22,30,19,27,30,26,15,25,33,25,286,1074
"802","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1074
"803","ROUBO DE CARGA",1,4,5,0,2,3,2,0,0,2,1,1,21,1074
"804","FURTO - OUTROS",133,126,162,165,144,138,174,238,174,221,183,140,1.998,1074
"805","FURTO DE VEÍCULO",24,31,39,22,27,22,33,26,6,33,16,18,297,1074
"806","HOMICÍDIO DOLOSO (2)",0,0,0,0,0,0,0,0,0,0,1,1,2,1073
"807","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,0,0,0,0,0,0,0,1,1,2,1073
"808","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1073
"809","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1073
"810","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,1,1,0,1,0,1,0,0,4,1073
"811","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1073
"812","TENTATIVA DE HOMICÍDIO",1,0,4,1,0,3,0,0,0,0,2,0,11,1073
"813","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1073
"814","LESÃO CORPORAL DOLOSA",26,42,51,34,11,33,24,54,50,50,53,37,465,1073
"815","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",21,13,38,27,9,24,32,23,27,27,33,10,284,1073
"816","LESÃO CORPORAL CULPOSA - OUTRAS",2,0,0,0,0,0,12,0,0,0,3,5,22,1073
"817","LATROCÍNIO",0,0,0,0,0,0,1,0,1,0,0,0,2,1073
"818","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,1,0,1,0,0,0,2,1073
"819","TOTAL DE ESTUPRO (4)",3,4,2,1,2,2,0,0,1,3,4,2,24,1073
"820","ESTUPRO",1,2,0,0,1,1,0,0,0,1,2,1,9,1073
"821","ESTUPRO DE VULNERÁVEL",2,2,2,1,1,1,0,0,1,2,2,1,15,1073
"822","TOTAL DE ROUBO - OUTROS (1)",151,144,143,146,130,95,117,136,169,130,145,122,1.628,1073
"823","ROUBO - OUTROS",151,144,140,146,129,94,117,135,167,130,145,121,1.619,1073
"824","ROUBO DE VEÍCULO",54,59,61,66,61,52,63,60,60,71,69,76,752,1073
"825","ROUBO A BANCO",0,0,0,0,0,0,0,0,1,0,0,0,1,1073
"826","ROUBO DE CARGA",0,0,3,0,1,1,0,1,1,0,0,1,8,1073
"827","FURTO - OUTROS",144,114,138,148,149,139,153,230,189,203,179,156,1.942,1073
"828","FURTO DE VEÍCULO",24,24,22,15,25,18,42,29,26,34,39,20,318,1073
"829","HOMICÍDIO DOLOSO (2)",0,0,0,0,0,0,0,0,0,1,0,0,1,1072
"830","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,0,0,0,0,0,0,0,0,1,0,0,1,1072
"831","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1072
"832","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1072
"833","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,1,0,0,0,0,0,0,1,0,0,0,2,1072
"834","HOMICÍDIO CULPOSO OUTROS",0,0,0,1,0,0,0,0,0,0,0,0,1,1072
"835","TENTATIVA DE HOMICÍDIO",0,0,0,0,0,1,0,0,0,0,0,0,1,1072
"836","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1072
"837","LESÃO CORPORAL DOLOSA",7,9,12,6,9,8,2,10,5,5,8,8,89,1072
"838","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",4,4,8,14,10,13,14,15,11,8,9,11,121,1072
"839","LESÃO CORPORAL CULPOSA - OUTRAS",2,1,1,0,0,2,6,4,2,7,3,3,31,1072
"840","LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1072
"841","Nº DE VÍTIMAS EM LATROCÍNIO",0,0,0,0,0,0,0,0,0,0,0,0,0,1072
"842","TOTAL DE ESTUPRO (4)",2,1,1,0,2,0,0,1,2,0,1,1,11,1072
"843","ESTUPRO",1,1,1,0,0,0,0,1,1,0,1,1,7,1072
"844","ESTUPRO DE VULNERÁVEL",1,0,0,0,2,0,0,0,1,0,0,0,4,1072
"845","TOTAL DE ROUBO - OUTROS (1)",58,141,75,85,86,78,66,70,77,76,96,64,972,1072
"846","ROUBO - OUTROS",56,141,75,83,84,77,66,68,75,75,95,64,959,1072
"847","ROUBO DE VEÍCULO",5,7,1,6,5,5,0,1,3,3,2,4,42,1072
"848","ROUBO A BANCO",0,0,0,1,0,0,0,1,0,0,0,0,2,1072
"849","ROUBO DE CARGA",2,0,0,1,2,1,0,1,2,1,1,0,11,1072
"850","FURTO - OUTROS",146,1.018,179,193,190,173,193,281,245,289,291,270,3.468,1072
"851","FURTO DE VEÍCULO",36,39,30,39,27,19,29,31,52,52,27,27,408,1072
"852","HOMICÍDIO DOLOSO (2)",4,2,2,0,1,2,2,3,1,2,2,2,23,1071
"853","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",5,2,2,0,1,2,2,3,1,2,3,2,25,1071
"854","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,1,0,0,0,0,0,0,0,0,0,1,1071
"855","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,1,0,0,0,0,0,0,0,0,0,1,1071
"856","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,2,1,0,5,1,2,1,3,0,0,15,1071
"857","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,1,0,0,0,1,0,0,2,1071
"858","TENTATIVA DE HOMICÍDIO",1,1,2,2,1,0,0,0,1,1,1,1,11,1071
"859","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,1,0,0,0,0,0,0,0,0,0,1,1071
"860","LESÃO CORPORAL DOLOSA",46,48,63,41,44,52,49,49,42,45,37,48,564,1071
"861","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",19,12,28,22,41,29,27,21,18,28,30,14,289,1071
"862","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,0,0,1,0,1,0,2,4,1071
"863","LATROCÍNIO",2,0,0,0,0,0,0,0,1,0,0,0,3,1071
"864","Nº DE VÍTIMAS EM LATROCÍNIO",2,0,0,0,0,0,0,0,1,0,0,0,3,1071
"865","TOTAL DE ESTUPRO (4)",1,1,6,7,9,2,1,2,8,8,6,2,53,1071
"866","ESTUPRO",0,1,3,1,3,0,1,0,1,1,0,0,11,1071
"867","ESTUPRO DE VULNERÁVEL",1,0,3,6,6,2,0,2,7,7,6,2,42,1071
"868","TOTAL DE ROUBO - OUTROS (1)",289,270,301,285,281,272,252,259,260,254,278,254,3.255,1071
"869","ROUBO - OUTROS",285,259,291,279,276,262,238,244,243,239,268,244,3.128,1071
"870","ROUBO DE VEÍCULO",53,54,59,55,73,50,27,41,49,50,51,50,612,1071
"871","ROUBO A BANCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1071
"872","ROUBO DE CARGA",4,11,10,6,5,10,14,15,17,15,10,10,127,1071
"873","FURTO - OUTROS",178,167,186,168,180,184,191,211,161,207,194,195,2.222,1071
"874","FURTO DE VEÍCULO",46,42,35,43,43,30,30,38,48,49,43,38,485,1071
"875","HOMICÍDIO DOLOSO (2)",1,1,0,0,0,1,0,0,0,0,0,0,3,1070
"876","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",1,1,0,0,0,2,0,0,0,0,0,0,4,1070
"877","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1070
"878","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1070
"879","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,2,0,2,0,2,1,1,0,0,0,8,1070
"880","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,1,0,0,0,0,0,0,1,1070
"881","TENTATIVA DE HOMICÍDIO",2,0,1,0,0,1,0,0,0,0,0,0,4,1070
"882","LESÃO CORPORAL SEGUIDA DE MORTE",0,0,0,0,0,0,0,0,0,0,0,0,0,1070
"883","LESÃO CORPORAL DOLOSA",26,29,45,27,29,26,21,26,19,33,24,25,330,1070
"884","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",8,11,10,17,16,8,12,19,18,18,15,13,165,1070
"885","LESÃO CORPORAL CULPOSA - OUTRAS",0,0,0,0,0,0,0,0,1,1,0,0,2,1070
"886","LATROCÍNIO",0,1,0,0,0,0,1,0,0,0,0,0,2,1070
"887","Nº DE VÍTIMAS EM LATROCÍNIO",0,1,0,0,0,0,1,0,0,0,0,0,2,1070
"888","TOTAL DE ESTUPRO (4)",4,1,1,3,5,2,3,2,1,7,5,3,37,1070
"889","ESTUPRO",2,0,0,1,2,1,0,0,0,1,0,0,7,1070
"890","ESTUPRO DE VULNERÁVEL",2,1,1,2,3,1,3,2,1,6,5,3,30,1070
"891","TOTAL DE ROUBO - OUTROS (1)",116,91,108,118,103,102,91,96,87,125,107,83,1.227,1070
"892","ROUBO - OUTROS",113,90,108,117,100,101,89,96,85,124,107,81,1.211,1070
"893","ROUBO DE VEÍCULO",14,17,16,21,17,17,4,16,17,24,14,14,191,1070
"894","ROUBO A BANCO",0,0,0,0,0,0,1,0,0,0,0,0,1,1070
"895","ROUBO DE CARGA",3,1,0,1,3,1,1,0,2,1,0,2,15,1070
"896","FURTO - OUTROS",104,91,104,93,111,133,157,128,116,119,110,139,1.405,1070
"897","FURTO DE VEÍCULO",27,34,33,37,30,40,30,31,27,37,25,33,384,1070
"898","HOMICÍDIO DOLOSO (2)",0,1,0,1,0,0,1,1,0,1,0,1,6,1069
"899","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",0,1,0,1,0,0,1,1,0,1,0,1,6,1069
"900","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1069
"901","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",0,0,0,0,0,0,0,0,0,0,0,0,0,1069
"902","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",0,0,1,0,0,0,0,0,0,0,0,0,1,1069
"903","HOMICÍDIO CULPOSO OUTROS",0,0,0,0,0,0,0,0,0,0,0,0,0,1069
"904","TENTATIVA DE HOMICÍDIO",1,1,1,1,1,2,0,1,1,2,0,0,11,1069
